Category,Repository,Link,Stars,Language,Description (RU)
Algorithms,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,48475,JavaScript,":fireworks:Интерактивная онлайн-платформа, визуализирующая алгоритмы из кода"
Algorithms,interview,https://github.com/huihut/interview,37689,C++,"📚 Краткое изложение базовых знаний по техническим собеседованиям C/C++, включая язык, библиотеку программ, структуру данных, алгоритм, систему, сеть, библиотеку загрузки ссылок и другие знания, а также опыт собеседований, подбор персонала, внутренние направления и другую информацию. Этот репозиторий представляет собой сводку базовых знаний по подбору соискателей и новичков в направлении технологии C/C++, включая язык, библиотеку программ, структуру данных, алгоритм, систему, сеть, библиотеку загрузки ссылок, опыт собеседований, подбор персонала, рекомендации и т.д."
Math & Mathematics,manim,https://github.com/ManimCommunity/manim,37562,Python,Поддерживаемая сообществом платформа Python для создания математической анимации.
Algorithms,GFPGAN,https://github.com/TencentARC/GFPGAN,37410,Python,GFPAN нацелен на разработку практических алгоритмов восстановления лица в реальных условиях.
Algorithms,gym,https://github.com/openai/gym,37135,Python,Набор инструментов для разработки и сравнения алгоритмов обучения с подкреплением.
Algorithms,hello-algorithm,https://github.com/geekxh/hello-algorithm,36054,Java,🌍 针对小白的算法训练 | 包括四部分：①.大厂面经 ②.力扣图解  ③.千本开源电子书 ④.百张技术思维导图（项目花了上百小时，希望可以点 star 支持，🌹感谢~）推荐免费ChatGPT使用网站
Algorithms,leetcode,https://github.com/doocs/leetcode,35847,Java,"🔥Решения LeetCode на любом языке программирования | Несколько языков программирования для реализации LeetCode, решения вопросов «Предложение Sword Pointer (2-е издание)», «Код для собеседования с программистом (6-е издание)»"
Algorithms,Real-ESRGAN,https://github.com/xinntao/Real-ESRGAN,34918,Python,Целью Real-ESRGAN является разработка практических алгоритмов общего восстановления изображений/видео.
Algorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,34085,JavaScript,"Алгоритмы и структуры данных, реализованные на JavaScript для начинающих, с использованием лучших практик."
Algorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,34008,C++,"Коллекция различных алгоритмов по математике, машинному обучению, информатике и физике, реализованная на C++ для образовательных целей."
Algorithms,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,33799,Go,"✅ Решения LeetCode от Go, 100% тестовое покрытие, превосходное время выполнения на 100% / LeetCode 题解"
Algorithms,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,31300,Python,Более 120 интерактивных задач на собеседовании по программированию на Python (алгоритмы и структуры данных).  Включает карточки Anki.
Algorithms,ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,31208,Python,Машинное обучение с нуля. Простые реализации NumPy моделей и алгоритмов машинного обучения с упором на доступность. Цель: охватить все: от линейной регрессии до глубокого обучения.
Algorithms,swift-algorithm-club,https://github.com/kodecocodes/swift-algorithm-club,29121,Swift,Алгоритмы и структуры данных в Swift с пояснениями!
Algorithms,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,29062,Python,Примеры кода Python и учебник по алгоритмам робототехники.
Algorithms,JCSprout,https://github.com/crossoverJie/JCSprout,26988,Java,"👨‍🎓 Java Core Sprout: базовый, параллельный, алгоритм"
Algorithms,zstd,https://github.com/facebook/zstd,26907,C,Zstandard — быстрый алгоритм сжатия в реальном времени.
Algorithms,CS-Books,https://github.com/forthespada/CS-Books,26540,,"🔥🔥Более 1000 классических компьютерных книг, личных заметок и ресурсов, задействованных в моих статьях, опубликованных на различных платформах. Ресурсы книги включают C/C++, Java, Python, язык Go, структуры данных и алгоритмы, операционные системы, серверную архитектуру, знания компьютерных систем, базы данных, компьютерные сети, шаблоны проектирования, интерфейсную часть, сборку и различные собеседования для школьного и социального набора ~"
Algorithms,Detectron,https://github.com/facebookresearch/Detectron,26400,Python,"Исследовательская платформа FAIR для исследования обнаружения объектов, реализующая популярные алгоритмы, такие как Mask R-CNN и RetinaNet."
Algorithms,OI-wiki,https://github.com/OI-wiki/OI-wiki,25801,TypeScript,":star2: Вики ОИ/ICPC для всех. (Онлайн-руководство по большой игре, включая классную арифметическую магию)"
Algorithms,Rust,https://github.com/TheAlgorithms/Rust,25620,Rust,Все алгоритмы реализованы на Rust
Algorithms,algorithms,https://github.com/keon/algorithms,25413,Python,Минимальные примеры структур данных и алгоритмов в Python
Algorithms,awesome-algorithms,https://github.com/tayllan/awesome-algorithms,24951,,Кураторский список замечательных мест для изучения и/или практики алгоритмов.
Algorithms,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,24446,Jupyter Notebook,🤖 Примеры популярных алгоритмов машинного обучения на Python с интерактивными демонстрациями Jupyter и математическими объяснениями.
Algorithms,DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,22432,Java,"Этот репозиторий состоит из примеров кода, заданий и примечаний по структурам и алгоритмам данных Java, а также курса WeMakeDevs по подготовке к собеседованию."
Algorithms,reinforcement-learning,https://github.com/dennybritz/reinforcement-learning,21943,Jupyter Notebook,"Реализация алгоритмов обучения с подкреплением. Python, OpenAI Gym, Tensorflow. Упражнения и решения в дополнение к книге Саттона и курсу Дэвида Сильвера."
Algorithms,C,https://github.com/TheAlgorithms/C,21872,C,"Коллекция различных алгоритмов по математике, машинному обучению, информатике, физике и т. д., реализованная на языке C для образовательных целей."
Algorithms,zipline,https://github.com/quantopian/zipline,19606,Python,"Zipline, Pythonic алгоритмическая торговая библиотека"
Algorithms,taipy,https://github.com/Avaiga/taipy,19151,Python,В кратчайшие сроки превращает алгоритмы обработки данных и искусственного интеллекта в готовые к использованию веб-приложения.
Algorithms,Algorithms,https://github.com/williamfiset/Algorithms,18558,Java,Коллекция алгоритмов и структур данных.
Algorithms,CS-Interview-Knowledge-Map,https://github.com/InterviewMap/CS-Interview-Knowledge-Map,18299,,"Создайте лучшую карту интервью. Текущий контент включает в себя JS, сеть, браузер, оптимизацию производительности, безопасность, инфраструктуру, Git, структуру данных, алгоритм и т. д."
Algorithms,neural-style,https://github.com/jcjohnson/neural-style,18295,Lua,Реализация алгоритма нейронного стиля Torch
Algorithms,Lean,https://github.com/QuantConnect/Lean,18245,C#,"Механизм бережливой алгоритмической торговли от QuantConnect (Python, C#)"
Algorithms,LightGBM,https://github.com/lightgbm-org/LightGBM,18216,C++,"Быстрая, распределенная и высокопроизводительная среда повышения градиента (GBT, GBDT, GBRT, GBM или MART), основанная на алгоритмах дерева решений, используемая для ранжирования, классификации и многих других задач машинного обучения."
Algorithms,Go,https://github.com/TheAlgorithms/Go,17922,Go,"Алгоритмы и структуры данных, реализованные на Go для начинающих, с учетом лучших практик."
Algorithms,machine-learning-for-trading,https://github.com/stefan-jansen/machine-learning-for-trading,16988,Jupyter Notebook,"Код машинного обучения для алгоритмической торговли, 2-е издание."
Algorithms,baselines,https://github.com/openai/baselines,16685,Python,OpenAI Baselines: высококачественные реализации алгоритмов обучения с подкреплением
Algorithms,x-algorithm,https://github.com/xai-org/x-algorithm,16239,Rust,"Алгоритм, обеспечивающий питание For You на X"
