Category,Tag,Repository,Stars,Language,Link,Description (EN),Description (RU)
Design,design-system,material-ui,98020,JavaScript,https://github.com/mui/material-ui,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,"Material UI: комплексная библиотека компонентов React, реализующая Material Design от Google. Бесплатно навсегда."
Encryption,cryptography,bitcoin,88690,C++,https://github.com/bitcoin/bitcoin,Bitcoin Core integration/staging tree,Дерево интеграции/промежуточного хранения Bitcoin Core
Analysis,data-science,ML-For-Beginners,84992,Jupyter Notebook,https://github.com/microsoft/ML-For-Beginners,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all","12 недель, 26 уроков, 52 теста, классическое машинное обучение для всех"
Forecasting,time-series,redis,73659,C,https://github.com/redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.","Для разработчиков, создающих приложения, управляемые данными в реальном времени, Redis является предпочтительным, быстрым и наиболее многофункциональным кэшем, сервером структуры данных, а также механизмом обработки документов и векторных запросов."
Analysis,data-analysis,superset,72214,TypeScript,https://github.com/apache/superset,Apache Superset is a Data Visualization and Data Exploration Platform,Apache Superset — это платформа визуализации и исследования данных.
Statistics,statistics,scikit-learn,65627,Python,https://github.com/scikit-learn/scikit-learn,scikit-learn: machine learning in Python,scikit-learn: машинное обучение на Python
Analysis,data-science,keras,63927,Python,https://github.com/keras-team/keras,Deep Learning for humans,Глубокое обучение для людей
Forecasting,time-series,prometheus,63389,Go,https://github.com/prometheus/prometheus,The Prometheus monitoring system and time series database.,Система мониторинга Prometheus и база данных временных рядов.
Analysis,data-science,30-Days-Of-Python,60563,Python,https://github.com/Asabeneh/30-Days-Of-Python,The 30 Days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than 100 days. Follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw,Задача «30 дней программирования на Python» — это пошаговое руководство по изучению языка программирования Python за 30 дней. Эта задача может занять более 100 дней. Следуйте своему собственному темпу. Эти видео тоже могут помочь: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw.
Encryption,encryption,rclone,56464,Go,https://github.com/rclone/rclone,"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Azure Blob, Azure Files, Yandex Files","«rsync для облачного хранилища» — Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Azure Blob, Azure Files, Yandex Files"
