Репозиторий,Ссылка,Звезды,Описание (Русский)
build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,486118,"Освойте программирование, воссоздавая любимые технологии с нуля."
awesome,https://github.com/sindresorhus/awesome,451888,😎 Потрясающие списки на самые разные интересные темы.
freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,440952,Open-source база и учебная программа freeCodeCamp.org. Изучайте математику и программирование бесплатно.
public-apis,https://github.com/public-apis/public-apis,419098,Коллективный список бесплатных API.
free-programming-books,https://github.com/EbookFoundation/free-programming-books,385000,:books: Бесплатные книги по программированию.
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,352200,Интерактивные дорожные карты и учебный контент для развития карьеры разработчика.
openclaw,https://github.com/openclaw/openclaw,348066,Ваш персональный AI-ассистент. Любая ОС. Любая платформа. В стиле лобстера. 🦞
system-design-primer,https://github.com/donnemartin/system-design-primer,341375,"Узнайте, как проектировать масштабируемые системы. Подготовка к системному интервью."
coding-interview-university,https://github.com/jwasham/coding-interview-university,340251,Полный план обучения компьютерным наукам для становления инженером.
awesome-python,https://github.com/vinta/awesome-python,290693,"Субъективный список Python-фреймворков, библиотек и инструментов."
awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,284039,Список сетей и веб-приложений для хостинга на собственных серверах.
996.ICU,https://github.com/996icu/996.ICU,275814,"Репо для подсчета звезд и вкладов. Нажмите F, чтобы выразить уважение разработчикам."
project-based-learning,https://github.com/practical-tutorials/project-based-learning,262357,Кураторский список туториалов на основе проектов.
react,https://github.com/facebook/react,244397,Библиотека для веб-интерфейсов и нативных интерфейсов.
linux,https://github.com/torvalds/linux,226965,Исходный код ядра Linux.
Python,https://github.com/TheAlgorithms/Python,219280,"Все алгоритмы, реализованные на Python."
the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,213327,"Коллекция списков, мануалов, читшитов и хаков."
vue,https://github.com/vuejs/vue,209885,Репозиторий Vue 2. Для Vue 3 перейдите по ссылке.
computer-science,https://github.com/ossu/computer-science,202935,🎓 Путь к бесплатному самообразованию в Computer Science!
javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,195774,📝 Алгоритмы и структуры данных на JavaScript.
tensorflow,https://github.com/tensorflow/tensorflow,194458,Фреймворк машинного обучения с открытым исходным кодом для всех.
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,185916,Фреймворк для управления конфигурацией zsh с 300+ плагинами и 140+ темами.
You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184516,Серия книг по языку JavaScript.
CS-Notes,https://github.com/CyC2018/CS-Notes,184088,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
vscode,https://github.com/microsoft/vscode,183428,Visual Studio Code.
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,183131,AutoGPT — видение доступного ИИ для всех.
n8n,https://github.com/n8n-io/n8n,182453,Платформа автоматизации воркфлоу с нативным ИИ.
Python-100-Days,https://github.com/jackfrued/Python-100-Days,180744,Python - от новичка до мастера за 100 дней.
flutter,https://github.com/flutter/flutter,175830,Flutter позволяет быстро создавать красивые мобильные приложения.
bootstrap,https://github.com/twbs/bootstrap,174116,Самый популярный фреймворк для адаптивной верстки.
gitignore,https://github.com/github/gitignore,173295,Коллекция полезных шаблонов .gitignore.
Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,170808,Open-source активатор Windows и Office.
awesome-go,https://github.com/avelino/awesome-go,169083,Кураторский список фреймворков и библиотек для Go.
ollama,https://github.com/ollama/ollama,167156,"Запуск моделей Kimi-K2.5, GLM-5, DeepSeek, gpt-oss и др."
claw-code,https://github.com/ultraworkers/claw-code,166817,"Репо разблокирован! Самый быстрый репо, набравший 100K звезд. Написан на Rust."
